strain_name,strain_variant
Twisted Citrus,Energetic
Twisted Citrus,Energetic
Sonoma Coma,Giggly
Skunk Dawg,Talkative
Hawaiian Sativa,Uplifted
Atomical Haze,Talkative
Blackberry Diesel,Happy
Blackberry Diesel,Happy
Jack Diesel,Aroused
Hawaiian Diesel,Aroused
Hawaiian Diesel,Aroused
NYPD,Aroused
Blue Satellite,Talkative
Shipwreck,Happy
The Cough,Aroused
King's Bread,Creative
King's Bread,Creative
King's Bread,Creative
King's Bread,Creative
King's Bread,Creative
