category,name,variant,adj-1,adj-2,adj-3,description,image_url,feelings-1-name,feelings-1-percent,feelings-2-name,feelings-2-percent,feelings-3-name,feelings-3-percent,feelings-4-name,feelings-4-percent,feelings-5-name,feelings-5-percent,helps-with-1-name,helps-with-1-percent,helps-with-2-name,helps-with-2-percent,helps-with-3-name,helps-with-3-percent,helps-with-4-name,helps-with-4-percent,helps-with-5-name,helps-with-5-percent,negatives-1-name,negatives-1-percent,negatives-2-name,negatives-2-percent,negatives-3-name,negatives-3-percent,negatives-4-name,negatives-4-percent,negatives-5-name,negatives-5-percent
Indica,Cookie Monster,Hungry,Peppery,Hoppy,Citrus,"Cookie Monster is a 2014 Seattle Cannabis Cup winner that blends the West Coast royalty, Girl Scout Cookies, and the legendary powerhouse, OG Kush. This combination yields dense frosted buds with hints of purple and orange hairs throughout. Cookie Monster pushes the boundaries of Cookies’ medical uses and leans toward medium-to-full sedation. Use Cookie Monster to reduce physical discomfort, indigestion, or before bed to jumpstart your dream machine.   ",null,Relaxed,80%,Happy,60%,Euphoric,51%,Sleepy,39%,Hungry,36%,Pain,37%,Stress,35%,Anxiety,33%,Insomnia,28%,Lack of appetite,20%,Dry mouth,23%,Dry eyes,14%,Dizzy,4%,Anxious,3%,Paranoid,3%
Indica,Hardcore OG,Relaxed,Citrus,Herbal,Peppery,"An indica-dominant cross between Big Bud and DJ Short Blueberry, Hardcore OG is a California strain bred with the stalwart cannabis veteran in mind. Its dense, pungent buds produce thick coats of resin that can be extracted for potent (and we mean potent) concentrates. The weight of this sedating indica sinks throughout the body, submerging stress, pain, and other ailments under its crushing THC content.",null,Relaxed,45%,Happy,28%,Sleepy,24%,Euphoric,21%,Focused,16%,Stress,26%,Pain,19%,Depression,15%,Headaches,15%,Insomnia,13%,Dry mouth,16%,Dry eyes,13%,Dizzy,3%,Headache,2%,Anxious,1%
Indica,3X Crazy,Relaxed,Herbal,Peppery,Citrus,"Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica can cover the consumer in soothing full-body effects, but not before a brief phase of clear-headed cerebral sizzle. The relaxing effects induced by 3X Crazy may potentially assist pain, spasms, tension, and insomnia.",null,Relaxed,82%,Happy,55%,Euphoric,48%,Sleepy,39%,Uplifted,32%,Stress,40%,Insomnia,32%,Pain,32%,Depression,27%,Anxiety,22%,Dry mouth,23%,Dry eyes,15%,Anxious,3%,Dizzy,3%,Paranoid,1%
Indica,Black D.O.G.,Relaxed,Citrus,Peppery,Herbal,"Black D.O.G. by Humboldt Seed Organization is a weighty mixture of two northern California favorites, Blackberry Kush and Emerald Headband. This medium-sized plant expresses dark, nearly black leaves that give way to sticky, dense buds. Its aroma is a mixture of grape, berries, and oil while the effects tend to be relaxing with just a touch of cerebral stimulation. Black D.O.G. has a rapid flowering time of 48-55 days.",null,Relaxed,71%,Happy,44%,Sleepy,37%,Euphoric,33%,Hungry,22%,Stress,37%,Insomnia,26%,Depression,24%,Pain,20%,Anxiety,17%,Dry mouth,17%,Dry eyes,8%,Dizzy,6%,Anxious,4%,Paranoid,4%
Indica,Strawberry Fields,Relaxed,Fruity,Herbal,Pine,"Strawberry Fields by Sagarmatha Seeds is an indica-dominant hybrid strain that takes the flavorful Strawberry Cough and crosses it with an undisclosed indica parent. This strain is destined for consumers who love that strawberry aroma, but would prefer something more tranquilizing than Strawberry Cough. Its heavier effects also make Strawberry Fields a better choice for patients treating pain, insomnia, and appetite loss.",null,Relaxed,70%,Happy,54%,Euphoric,41%,Uplifted,30%,Sleepy,27%,Stress,33%,Pain,26%,Anxiety,23%,Depression,20%,Insomnia,19%,Dry mouth,15%,Dry eyes,6%,Headache,5%,Anxious,1%,Paranoid,1%
Indica,Pennywise,Relaxed,Herbal,Pine,Fruity,"Pennywise is a high-CBD indica cross between Harlequin and Jack the Ripper, a combination that lends this strain its killer clown name. Four phenotypes of this Stephen King-inspired strain exist, some of which have fingerlike buds while others appear more round. Notes of coffee and pepper lift from the purple-fringed flowers with undertones of lemon and bubblegum. Rich in the therapeutic compound CBD, Pennywise is especially effective in treating arthritis, PTSD, epilepsy, neurological disorders, and cancer symptoms. It contains a 1:1 ratio of CBD and THC, so the psychoactive effects are milder and more relaxing. Jack the Ripper’s cerebrally focused effects are detectable in Pennywise’s genes as euphoria and mental clarity take over with an invigorating buzz. Pennywise flowers in 60 to 67 days and is suitable for either indoor or outdoor gardens.",null,Relaxed,80%,Happy,50%,Uplifted,37%,Euphoric,33%,Sleepy,33%,Anxiety,41%,Pain,40%,Stress,39%,Depression,32%,Inflammation,21%,Dry mouth,16%,Dry eyes,11%,Dizzy,4%,Headache,4%,Anxious,3%
Indica,Purple Hindu Kush,Sleepy,Citrus,Peppery,Pine,"A cross between Hindu Kush and Purple Afghani, Purple Hindu Kush is almost pure indica and offers the kind of high one would expect from its lineage: deep relaxation along with pronounced pain relief. Featuring dense lavender flowers with bright orange pistils and a thick blanket of trichomes, as well as a pungent sour grape and citrus flavor, PHK will be sure to please indica lovers everywhere.  ",null,Relaxed,71%,Sleepy,51%,Happy,41%,Euphoric,36%,Hungry,24%,Stress,29%,Insomnia,26%,Pain,25%,Anxiety,23%,Depression,20%,Dry mouth,19%,Dry eyes,9%,Dizzy,5%,Anxious,4%,Paranoid,2%
Indica,Raspberry Kush,Sleepy,Herbal,Citrus,Peppery,"Raspberry Kush is a great-tasting indica strain whose raspberries and cream aroma will keep you coming back for more. This strain may leave newer consumers feeling pretty lazy, but many find this Kush to be a creative flower, making it great for music, art, and talking with friends.",null,Relaxed,60%,Euphoric,50%,Happy,49%,Uplifted,35%,Sleepy,33%,Stress,43%,Pain,36%,Anxiety,31%,Depression,26%,Insomnia,23%,Dry mouth,26%,Dry eyes,17%,Dizzy,4%,Paranoid,4%,Headache,3%
Indica,Herijuana,Sleepy,Herbal,Citrus,Peppery,"Originally bred by Woodhorse Seeds, Herijuana is a combination of the highly regarded Humboldt County Afghan indica called Petrolia Headstash and an outdoor hybrid from Kentucky known only as the “Killer New Haven” strain. This combo was worked by breeders for 15 generations to create an inbred line (IBL), meaning that most of the seeds will grow into plants that are nearly identical. Herijuana produces large dense flowers on an open, stretchy plant, with aromas and flavors ranging from spicy earth and sandalwood to hashy fruit. The high provides a heavy, almost numbing feeling. ",null,Relaxed,63%,Sleepy,59%,Euphoric,40%,Happy,40%,Tingly,28%,Pain,49%,Insomnia,44%,Stress,41%,Anxiety,34%,Depression,20%,Dry mouth,33%,Dry eyes,19%,Dizzy,6%,Paranoid,6%,Headache,4%
Indica,Shark Shock,Relaxed,Pine,Herbal,Peppery,Shark Shock's origin is White Widow crossed with Skunk #1.  Has a fruity taste and carries intense stoney effects.  The plant will grow into a densely compacted white skunk with extreme aromas.  ,null,Relaxed,78%,Happy,50%,Euphoric,38%,Uplifted,34%,Sleepy,31%,Pain,45%,Stress,42%,Anxiety,34%,Depression,23%,Inflammation,21%,Dry mouth,31%,Dry eyes,15%,Dizzy,7%,Headache,4%,Anxious,3%
